index,siteEND,seedEND,modelvEND,,,,,,index,siteinfEND,seedinfEND,modelvinfEND,voiEND
1,1,2467,1,,,,,,1,1,2467,3,1
2,2,4723,1,,,,,,2,2,4723,3,1
3,3,7792,1,,,,,,3,3,7792,3,1
4,4,1486,1,,,,,,4,4,1486,3,1
5,5,7265,1,,,,,,5,5,7265,3,1
6,6,4563,1,,,,,,6,6,4563,3,1
7,7,3044,1,,,,,,7,7,3044,3,1
8,8,3194,1,,,,,,8,8,3194,3,1
9,1,4135,3,,,,,,9,1,4135,3,2
10,2,1116,3,,,,,,10,2,1116,3,2
11,3,9707,3,,,,,,11,3,9707,3,2
12,4,2164,3,,,,,,12,4,2164,3,2
13,5,8662,3,,,,,,13,5,8662,3,2
14,6,8849,3,,,,,,14,6,8849,3,2
15,7,7539,3,,,,,,15,7,7539,3,2
16,8,7656,3,,,,,,16,8,7656,3,2
17,1,7635,7,,,,,,17,1,7635,3,3
18,2,674,7,,,,,,18,2,674,3,3
19,3,7432,7,,,,,,19,3,7432,3,3
20,4,4341,7,,,,,,20,4,4341,3,3
21,5,2280,7,,,,,,21,5,2280,3,3
22,6,4060,7,,,,,,22,6,4060,3,3
23,7,8778,7,,,,,,23,7,8778,3,3
24,8,9879,7,,,,,,24,8,9879,3,3
25,1,2467,8,,,,,,25,1,2467,3,4
26,2,4723,8,,,,,,26,2,4723,3,4
27,3,7792,8,,,,,,27,3,7792,3,4
28,4,1486,8,,,,,,28,4,1486,3,4
29,5,7265,8,,,,,,29,5,7265,3,4
30,6,4563,8,,,,,,30,6,4563,3,4
31,7,3044,8,,,,,,31,7,3044,3,4
32,8,3194,8,,,,,,32,8,3194,3,4
33,1,4135,9,,,,,,33,1,4135,3,5
34,2,1116,9,,,,,,34,2,1116,3,5
35,3,9707,9,,,,,,35,3,9707,3,5
36,4,2164,9,,,,,,36,4,2164,3,5
37,5,8662,9,,,,,,37,5,8662,3,5
38,6,8849,9,,,,,,38,6,8849,3,5
39,7,7539,9,,,,,,39,7,7539,3,5
40,8,7656,9,,,,,,40,8,7656,3,5
,,,,,,,,,41,1,2281,3,6
,,,,,,,,,42,2,4060,3,6
,,,,,,,,,43,3,8778,3,6
,,,,,,,,,44,4,9879,3,6
,,,,,,,,,45,5,2467,3,6
,,,,,,,,,46,6,4723,3,6
,,,,,,,,,47,7,7792,3,6
,,,,,,,,,48,8,1486,3,6
