"date","year","month","day","month_name","water_year","ET","GPP","VPD","P","Tair","PA","RH","PPFD_IN","S","Smid","Sdeep","Tsoil","ws","LAI_mod","WUE","Z","h","fc","fclay","fsand","P_acc","Season","E4.5","E3.5","pair","Bowen","alpha","gamma","Ri","rah_unstable","rah","rss","es","ea","Pa","Tsnow","es_snow","Eint","Esnow","E"
2007-01-01,2007,1,1,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,0,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-02,2007,1,2,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1103,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,0,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-03,2007,1,3,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1206,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,0,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-04,2007,1,4,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1309,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,0,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-05,2007,1,5,"January",2007,0,NA,NA,2,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1412,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,2,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0.136330897177338,NA,NA
2007-01-06,2007,1,6,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1515,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,2,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-07,2007,1,7,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1618,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,2,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-08,2007,1,8,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1721,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,2,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-09,2007,1,9,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1824,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,2,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-10,2007,1,10,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1732625,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,2,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-11,2007,1,11,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.164125,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,2,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-12,2007,1,12,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1549875,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,2,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-13,2007,1,13,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.14585,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,2,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,0,NA
2007-01-14,2007,1,14,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1367125,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,2,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,0,NA
2007-01-15,2007,1,15,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.127575,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,2,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,0,NA
2007-01-16,2007,1,16,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1184375,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,2,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,0,NA
2007-01-17,2007,1,17,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.1093,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,2,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,0,NA
2007-01-18,2007,1,18,"January",2007,0,NA,NA,5.6,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.117225,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,7.6,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0.318796022630693,NA,NA
2007-01-19,2007,1,19,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.12515,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,7.6,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-20,2007,1,20,"January",2007,0,NA,NA,1.3,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.133075,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,8.9,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0.0836838220986742,NA,NA
2007-01-21,2007,1,21,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.141,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,8.9,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-22,2007,1,22,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.148925,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,8.9,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
2007-01-23,2007,1,23,"January",2007,0,NA,NA,0,NA,79.9604405268416,NA,0,NA,NA,NA,NA,NA,0.15685,NA,2,1931,0.1236241678,0.0254971173,0.8699647018,8.9,"Winter",NA,NA,NA,NA,NA,56.882053259251,NA,NA,NA,NA,NA,NA,79960.4405268416,NA,NA,0,NA,NA
